Feature ID	Taxon
697a9ca9467db64cd6580bb20e57e747a8687e21	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__garyensis
69a9f6a2b54d8cbbbd1376e1ef26fecb5f0cf789	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;NA;NA
2eee2b06870445999618cca65ddaee07a9def7a1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Clavulina;NA
c48d33a539e19847398f671914b799cfa8c32bb8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;NA
ab25cf340ba0bc963cd98f92f3df42199b8dd39b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__adusta
9b01443a96e34ad5b0820f66f9ab891a9a7c6279	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__equestre
fa38b88691f4df3541e377f2e9e5ac2be09d1aca	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__variata
c1359dfccc3ccbca586e5b2639895a4d50a15442	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;NA
e665661d79dad6e2df5b667dc203a4f4c3a3c01e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;NA
1dbffc054b699a057ab620e8fa27a54a69b471e3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__ceskae
8a4de93d1476b5c191c824a4ceb665e3505e69ce	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__proximella
cc6bf4abcf8905c87da62ae7d90629f35376dce4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Tylosporaceae;g__Amphinema;NA
0e69ee77fc3f357c14097445b66c5a1d2600226f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Phaeocollybia;NA
28c140b6c1e4fa708df34c96cf57eb8be51ebc4b	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Pachyphlodes;NA
74129692150bf72f9f8ab9b275b3bc961b5d137d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;NA;NA;NA
756cd2adc9e0cb8657c71c16cb83e022924f3f50	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__cremicolor
86495bd5eebbad545be230a64f6ba0c17ccad058	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;NA
2d7021d53716685485b6ce420f87ae6e4d3e5946	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__postiana
ff27ed0e2e46d56f63c2fd720690666aa71b2133	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__pseudoamoenicolor
4b301d60b07766e54020f9efcb77a7106ccce21e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Cantharellaceae_gen_Incertae_sedis;NA
1c0ab7f1da540f596628bc7247b6bddd8e28886c	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Lepiota;s__pseudolilacea
08832bcbd5b183d86d593191df6258f292c88a52	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__pseudoamoenicolor
